Timestamp,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyro_X,Gyro_Y,Gyro_Z
2025-12-21T17:04:18.255771,6.136393,-3.284149,7.774280,-0.162337,-0.026878,0.008628
2025-12-21T17:04:18.265771,5.933601,-3.324827,7.618747,-0.172340,0.063682,-0.003741
2025-12-21T17:04:18.274771,5.589035,-3.315853,7.541578,-0.153174,0.161268,-0.035582
2025-12-21T17:04:18.284771,5.307878,-3.267399,7.771289,-0.120263,0.186466,-0.060857
2025-12-21T17:04:18.293771,5.162514,-3.120838,8.031509,-0.075976,0.109192,-0.055359
2025-12-21T17:04:18.303771,5.285745,-2.943171,7.886743,0.017180,-0.022830,-0.017485
2025-12-21T17:04:18.313771,5.477769,-2.667398,7.542775,0.114460,-0.128357,0.009773
2025-12-21T17:04:18.322771,5.750550,-2.456830,7.492525,0.119347,-0.162719,0.000839
2025-12-21T17:04:18.332771,5.956333,-2.458625,7.851449,0.040927,-0.133244,-0.050243
2025-12-21T17:04:18.342771,6.101099,-2.589034,8.165507,-0.063758,-0.069944,-0.100029
2025-12-21T17:04:18.351771,6.132206,-2.880360,8.367700,-0.177379,-0.015958,-0.126601
2025-12-21T17:04:18.361771,6.058028,-3.230310,8.341379,-0.287564,0.016493,-0.134390
2025-12-21T17:04:18.370771,5.937789,-3.558127,8.252845,-0.350865,0.035048,-0.140422
2025-12-21T17:04:18.380771,5.700301,-3.818346,8.013562,-0.350942,0.051541,-0.165009
2025-12-21T17:04:18.390771,5.370092,-4.007977,7.558328,-0.261221,0.071318,-0.206243
2025-12-21T17:04:18.399771,5.105087,-4.098905,7.308876,-0.148058,0.072234,-0.261221
2025-12-21T17:04:18.409771,4.889732,-4.175475,7.540382,-0.027183,0.041080,-0.303905
2025-12-21T17:04:18.418771,4.869393,-4.107878,7.730611,0.141491,-0.039400,-0.326660
2025-12-21T17:04:18.428771,5.000401,-3.912264,7.723433,0.319100,-0.145691,-0.327881
2025-12-21T17:04:18.438771,5.304887,-3.663411,7.688737,0.450818,-0.238390,-0.335059
2025-12-21T17:04:18.447771,5.712863,-3.404986,8.053642,0.520304,-0.280539,-0.367435
2025-12-21T17:04:18.457771,6.105286,-3.218944,8.478966,0.562301,-0.280310,-0.424322
2025-12-21T17:04:18.467771,6.419344,-2.975474,8.256434,0.591393,-0.236328,-0.467388
2025-12-21T17:04:18.476771,6.481558,-2.706282,7.681558,0.587041,-0.159283,-0.492738
2025-12-21T17:04:18.486771,6.269793,-2.404786,7.481758,0.502283,-0.083535,-0.529620
2025-12-21T17:04:18.495771,6.090929,-2.312064,7.829913,0.360028,-0.054290,-0.594448
2025-12-21T17:04:18.505771,5.954539,-2.348555,8.360522,0.226859,-0.064064,-0.642095
2025-12-21T17:04:18.515771,5.758925,-2.408375,8.382057,0.145614,-0.109650,-0.640186
2025-12-21T17:04:18.524771,5.617749,-2.329412,7.878368,0.106901,-0.152563,-0.612010
2025-12-21T17:04:18.534771,5.400600,-2.222333,7.415955,0.085673,-0.186161,-0.601243
2025-12-21T17:04:18.543771,5.199005,-1.978266,7.219145,0.103847,-0.205708,-0.614683
2025-12-21T17:04:18.553771,4.987240,-1.644467,7.468597,0.143858,-0.203112,-0.601931
2025-12-21T17:04:18.563771,4.880759,-1.529013,7.771887,0.192727,-0.194331,-0.557948
2025-12-21T17:04:18.572771,4.858626,-1.525424,7.794619,0.267024,-0.210213,-0.496938
2025-12-21T17:04:18.582771,5.158327,-1.569691,7.384250,0.393015,-0.289550,-0.433408
2025-12-21T17:04:18.592771,5.690132,-1.571486,7.191628,0.522595,-0.409966,-0.356439
2025-12-21T17:04:18.601771,6.317649,-1.444666,7.248457,0.618119,-0.521220,-0.266795
2025-12-21T17:04:18.611771,7.057032,-1.315454,7.433303,0.673020,-0.569555,-0.189139
2025-12-21T17:04:18.620771,7.614559,-1.181456,7.439285,0.641866,-0.536645,-0.137291
2025-12-21T17:04:18.630771,7.953144,-1.103091,7.528418,0.499916,-0.415235,-0.104686
2025-12-21T17:04:18.640771,7.969295,-1.143170,7.929215,0.273820,-0.234801,-0.092164
2025-12-21T17:04:18.649771,7.665407,-1.406979,8.239684,0.068035,-0.035888,-0.109955
2025-12-21T17:04:18.659771,7.114459,-1.834696,7.817949,-0.059788,0.138589,-0.144164
2025-12-21T17:04:18.668771,6.440880,-2.299502,7.174280,-0.124921,0.217696,-0.187306
2025-12-21T17:04:18.678771,5.873781,-2.677568,7.188039,-0.173714,0.195018,-0.221973
2025-12-21T17:04:18.688771,5.534598,-3.052643,7.514061,-0.172187,0.100792,-0.243964
2025-12-21T17:04:18.697771,5.469992,-3.257229,7.718049,-0.034742,-0.016722,-0.270307
2025-12-21T17:04:18.707771,5.543571,-3.168695,7.674380,0.182343,-0.100563,-0.304897
2025-12-21T17:04:18.717771,5.760720,-2.779861,7.559524,0.386753,-0.135764,-0.344756
2025-12-21T17:04:18.726771,5.952744,-2.274377,7.432106,0.558865,-0.122249,-0.372016
2025-12-21T17:04:18.736771,6.034100,-1.622931,7.409375,0.684626,-0.074296,-0.386677
2025-12-21T17:04:18.745771,6.063412,-0.880558,7.558926,0.723875,-0.034819,-0.403705
2025-12-21T17:04:18.755771,6.163312,-0.413360,7.788039,0.656908,-0.037720,-0.405232
2025-12-21T17:04:18.765771,6.360720,-0.065204,7.917849,0.525725,-0.081092,-0.359723
2025-12-21T17:04:18.774771,6.559923,0.032303,7.727620,0.352087,-0.134237,-0.274583
2025-12-21T17:04:18.784771,6.622734,-0.098105,7.615756,0.172951,-0.141109,-0.190818
2025-12-21T17:04:18.793771,6.584449,-0.378065,7.790432,0.006261,-0.092469,-0.147218
2025-12-21T17:04:18.803771,6.464808,-0.756730,8.083552,-0.106214,-0.031841,-0.134084
2025-12-21T17:04:18.813771,6.332006,-1.098305,8.210372,-0.143247,0.022754,-0.109344
2025-12-21T17:04:18.822771,6.161518,-1.524826,8.139186,-0.106748,0.035506,-0.067118
2025-12-21T17:04:18.832771,6.131009,-1.834098,7.919046,-0.038102,-0.005574,-0.034895
2025-12-21T17:04:18.842771,6.229115,-2.199602,7.708478,0.072616,-0.078954,-0.012293
2025-12-21T17:04:18.851771,6.424130,-2.261815,7.731808,0.211053,-0.153479,0.000152
2025-12-21T17:04:18.861771,6.481558,-2.134995,7.859225,0.343000,-0.192040,-0.008093
2025-12-21T17:04:18.870771,6.585646,-1.849053,7.975277,0.423100,-0.179059,-0.033139
2025-12-21T17:04:18.880771,6.571887,-1.577468,7.708478,0.464639,-0.137291,-0.064369
2025-12-21T17:04:18.890771,6.591029,-1.105484,7.411169,0.492662,-0.094378,-0.081855
2025-12-21T17:04:18.899771,6.572485,-0.574875,7.189833,0.420733,-0.057574,-0.068722
2025-12-21T17:04:18.909771,6.437889,-0.422333,6.972685,0.290389,-0.037644,-0.048640
2025-12-21T17:04:18.918771,6.342176,-0.448056,6.656234,0.167835,-0.015347,-0.026725
2025-12-21T17:04:18.928771,6.183053,-0.581455,6.891927,0.035735,-0.008628,0.006108
2025-12-21T17:04:18.938771,6.297909,-0.969093,7.695317,-0.154014,-0.037568,0.053832
2025-12-21T17:04:18.947771,6.431907,-1.567897,8.005188,-0.206243,-0.100487,0.095982
2025-12-21T17:04:18.957771,6.649654,-1.786840,7.824529,-0.038408,-0.127747,0.138131
2025-12-21T17:04:18.967771,6.749554,-1.597807,7.552346,0.193262,-0.087582,0.154625
2025-12-21T17:04:18.976771,6.847660,-1.140179,7.523034,0.352774,-0.007024,0.133244
2025-12-21T17:04:18.986771,6.817151,-0.656231,7.581060,0.381179,0.090255,0.124311
2025-12-21T17:04:18.995771,6.746563,-0.378664,7.789833,0.305890,0.153938,0.139735
2025-12-21T17:04:19.005771,6.537191,-0.319441,7.630113,0.155999,0.176158,0.163024
2025-12-21T17:04:19.015771,6.138786,-0.565902,7.561917,0.015271,0.169285,0.165009
2025-12-21T17:04:19.024771,5.731408,-0.864407,7.759923,-0.081474,0.150578,0.130190
2025-12-21T17:04:19.034771,5.521438,-1.213759,8.133802,-0.065973,0.100869,0.068111
2025-12-21T17:04:19.043771,5.620740,-1.451845,8.234898,-0.009773,0.020463,0.034742
2025-12-21T17:04:19.053771,6.046064,-1.690529,8.108677,0.097203,-0.105450,0.035277
2025-12-21T17:04:19.063771,6.732804,-1.657029,7.981259,0.250836,-0.210366,0.070936
2025-12-21T17:04:19.072771,7.310671,-1.286142,7.646862,0.377132,-0.223805,0.133932
2025-12-21T17:04:19.082771,7.655237,-0.850050,7.357929,0.441502,-0.115835,0.178830
2025-12-21T17:04:19.092771,7.667800,-0.446859,7.244868,0.404087,0.080786,0.185855
2025-12-21T17:04:19.101771,7.355536,-0.171086,7.436892,0.287717,0.305890,0.168216
2025-12-21T17:04:19.111771,6.678966,-0.055633,7.591229,0.127212,0.514424,0.171729
2025-12-21T17:04:19.120771,5.775077,-0.223130,7.586444,-0.006184,0.631405,0.188604
2025-12-21T17:04:19.130771,5.087739,-0.388235,7.403393,-0.115071,0.610712,0.208839
2025-12-21T17:04:19.140771,4.752743,-0.647258,7.454240,-0.195705,0.468686,0.237397
2025-12-21T17:04:19.149771,4.957928,-0.907477,7.836494,-0.297109,0.235335,0.269238
2025-12-21T17:04:19.159771,5.495715,-1.354935,8.070990,-0.342313,0.001450,0.307723
2025-12-21T17:04:19.168771,6.223731,-1.603789,8.067401,-0.289473,-0.122096,0.326049
2025-12-21T17:04:19.178771,6.658627,-1.662413,7.942376,-0.220369,-0.096134,0.305203
2025-12-21T17:04:19.188771,6.893123,-1.584048,8.472386,-0.172263,0.021761,0.223271
2025-12-21T17:04:19.197771,6.913462,-1.628913,8.633303,-0.149127,0.157984,0.132557
2025-12-21T17:04:19.207771,6.656234,-1.626521,8.796614,-0.098425,0.236939,0.079488
2025-12-21T17:04:19.217771,6.360122,-1.564905,8.609973,-0.068569,0.237168,0.069944
2025-12-21T17:04:19.226771,5.973681,-1.547558,8.087142,-0.046731,0.177074,0.083153
2025-12-21T17:04:19.236771,5.693721,-1.553540,7.850252,-0.061315,0.098807,0.090789
2025-12-21T17:04:19.245771,5.456233,-1.526620,8.219943,-0.083612,0.018707,0.077732
2025-12-21T17:04:19.255771,5.433501,-1.494317,8.287541,-0.054061,-0.038179,0.054290
2025-12-21T17:04:19.265771,5.595017,-1.287936,8.161319,0.011606,-0.071776,0.045356
2025-12-21T17:04:19.274771,5.848656,-1.173679,7.886145,0.027030,-0.101327,0.033673
2025-12-21T17:04:19.284771,6.130411,-1.106082,7.264011,-0.011377,-0.125150,0.024663
2025-12-21T17:04:19.293771,6.504290,-1.176072,6.930810,-0.065515,-0.117820,0.031917
2025-12-21T17:04:19.303771,6.787241,-1.343569,7.182057,-0.160199,-0.091858,0.027030
2025-12-21T17:04:19.313771,6.898507,-1.594816,7.696513,-0.217315,-0.018936,0.017256
