loop,trig_cnt,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,0,0.12237,-0.09932,-9.79393,10.07163,-14.52184,-0.88451
1,0,0.12388,-0.07545,-9.76721,11.27120,-11.33460,2.15985
2,0,0.14593,-0.05377,-9.62172,7.94428,-11.47829,-0.05696
3,0,0.14176,-0.02450,-9.64089,13.70520,-12.20728,3.07916
4,0,0.13542,-0.00000,-9.53641,12.61413,-12.65689,3.35395
5,0,0.15976,-0.01493,-9.48722,17.70703,-10.39758,3.23341
6,0,0.18492,-0.03593,-9.26208,16.02355,-11.10894,2.94682
7,0,0.18401,-0.01696,-9.25245,15.26715,-8.44551,4.03647
8,0,0.15713,0.01600,-9.15908,20.77993,-9.44201,5.08294
9,0,0.15194,0.00727,-9.05361,20.03786,-8.53162,7.74272
10,0,0.17072,0.00477,-9.00339,21.20945,-6.12759,6.23476
11,0,0.18985,0.03017,-8.96902,22.52133,-5.19088,5.15621
12,0,0.14824,0.04548,-8.96953,22.69331,-4.31585,7.35638
13,0,0.19597,0.06333,-8.82126,21.86494,-2.97461,8.06079
14,0,0.18090,0.04585,-8.72834,21.80487,-4.27844,7.98621
15,0,0.19653,0.07064,-8.61580,25.58529,-2.54890,8.87052
16,0,0.20551,0.09516,-8.57624,23.70262,-0.70541,10.03987
17,0,0.21516,0.10514,-8.60785,26.31169,-0.46757,7.60272
18,0,0.23466,0.12278,-8.45768,27.58374,-1.47809,9.76253
19,0,0.25208,0.11920,-8.40153,27.98833,0.50532,10.37704
20,0,0.23332,0.11936,-8.43562,24.80961,3.71681,12.62523
21,0,0.26772,0.16825,-8.32716,28.77564,1.84341,11.48252
22,0,0.23143,0.13260,-8.28825,28.89206,2.49718,12.32141
23,0,0.25595,0.17447,-8.23282,31.12967,2.65507,12.45199
24,0,0.27101,0.13895,-8.12815,31.95609,3.19601,14.08588
25,0,0.25868,0.18018,-8.06500,33.56835,3.81921,14.19723
26,0,0.24561,0.13545,-8.11083,32.11536,3.79963,13.08970
27,0,0.24556,0.18682,-8.05118,35.64256,6.87118,12.98775
28,0,0.25818,0.16589,-8.03527,35.94465,6.39164,13.91780
29,0,0.27490,0.17950,-8.02116,37.94172,6.88815,14.93245
30,0,0.25328,0.18738,-7.87479,37.95909,5.57878,12.65134
31,0,0.27209,0.18699,-7.87350,40.82260,7.22339,15.31091
32,0,0.27570,0.15028,-7.93995,36.14763,10.89314,14.48555
33,0,0.29213,0.25086,-7.77224,39.51631,11.51813,14.68210
34,0,0.28785,0.20994,-7.83869,40.17690,8.11340,14.92291
35,0,0.29271,0.19577,-7.68920,39.08824,12.67601,14.91576
36,0,0.27438,0.25321,-7.77048,40.61429,12.42029,15.01041
37,0,0.28653,0.26769,-7.67192,42.02487,10.64266,16.17682
38,0,0.30628,0.23822,-7.68650,42.34634,14.52555,15.05524
39,0,0.32175,0.24035,-7.70018,41.78757,14.43155,15.44369
40,0,0.26779,0.22474,-7.64434,43.09979,14.62117,16.05769
41,0,0.32414,0.26179,-7.58941,43.24429,14.56946,15.10293
42,0,0.32148,0.23808,-7.61288,44.77761,17.52978,14.30812
43,0,0.31069,0.30080,-7.64182,46.95585,13.78167,14.51656
44,0,0.30067,0.26316,-7.56331,43.34117,16.01435,14.37057
45,0,0.28922,0.28083,-7.56979,46.19534,20.94864,15.18330
46,0,0.32458,0.25624,-7.59208,48.00022,17.78338,15.25235
47,0,0.33437,0.26533,-7.52655,48.61728,18.16438,12.81438
48,0,0.33074,0.28800,-7.57459,45.56052,19.56975,14.49856
49,0,0.32036,0.26172,-7.57457,45.74720,20.43866,14.36978
50,0,0.30038,0.30304,-7.51484,48.23166,22.32696,11.29017
51,0,0.26805,0.27261,-7.49220,49.12596,19.92619,12.75019
52,0,0.29093,0.29729,-7.48193,47.13000,21.36073,13.32492
53,0,0.30276,0.27502,-7.52646,50.32420,21.81860,12.63849
54,0,0.26231,0.31355,-7.56691,46.64873,25.66816,11.97626
55,0,0.29424,0.26836,-7.56768,46.94424,25.00175,9.37298
56,0,0.29302,0.29759,-7.52923,47.23117,25.95229,10.15357
57,0,0.29626,0.29825,-7.62242,50.24501,22.65922,10.80245
58,0,0.25640,0.26379,-7.54668,48.92824,24.42314,8.87759
59,0,0.26443,0.28723,-7.60582,48.77820,26.98411,8.50266
60,0,0.26636,0.30664,-7.57359,48.91378,24.96412,8.76449
61,0,0.24895,0.28313,-7.58463,47.24307,26.44346,9.21431
62,0,0.30423,0.30005,-7.64002,46.75132,27.22857,7.32444
63,0,0.25648,0.25193,-7.61525,48.70802,27.94663,6.79207
64,0,0.26978,0.30798,-7.67558,50.18844,26.69288,6.56493
65,0,0.25469,0.28798,-7.70893,47.67310,28.32284,6.50170
66,0,0.28804,0.28363,-7.61643,47.52886,27.75285,6.73000
67,0,0.27916,0.29124,-7.63743,50.64972,30.08719,5.54117
68,0,0.26167,0.29902,-7.78599,51.60052,31.37110,4.27003
69,0,0.20105,0.29572,-7.77575,48.96535,31.97859,4.39107
70,0,0.24216,0.31275,-7.71202,48.32458,32.98053,3.21281
71,0,0.25067,0.32385,-7.79524,50.69907,30.54145,2.92062
72,0,0.25283,0.31437,-7.85463,48.13342,31.72773,1.60146
73,0,0.21605,0.30002,-7.90547,48.73914,33.81534,-0.18602
74,0,0.26039,0.32843,-7.86840,47.28622,28.56449,1.09578
75,0,0.19299,0.28414,-7.88616,49.84372,32.47352,1.32958
76,0,0.20151,0.29363,-7.91009,48.70341,31.12956,-1.60568
77,0,0.22870,0.24137,-7.97039,51.57949,33.02474,0.89928
78,0,0.20615,0.29957,-7.97862,46.21684,32.60183,-1.05386
79,0,0.24031,0.28847,-8.02190,47.47381,33.10712,-3.57447
80,0,0.19904,0.32021,-8.07916,48.74682,33.30919,-3.91449
81,0,0.17755,0.28659,-8.07302,46.95964,34.68910,-3.98271
82,0,0.17753,0.28251,-8.09657,49.07635,33.75782,-4.68779
83,0,0.15807,0.33917,-8.09535,45.28123,34.91964,-4.63294
84,0,0.14909,0.30010,-8.20646,44.52271,34.14409,-6.40734
85,0,0.18195,0.27436,-8.25457,46.86676,33.98388,-6.79243
86,0,0.17562,0.25697,-8.22219,47.35004,35.28353,-6.85101
87,0,0.18450,0.25992,-8.24154,45.75615,35.42731,-8.13696
88,0,0.13809,0.30745,-8.26723,43.55840,34.07071,-6.82406
89,0,0.18150,0.28350,-8.18869,42.60964,35.42373,-8.27306
90,0,0.13648,0.29176,-8.25394,43.42282,35.76044,-9.60167
91,0,0.16821,0.28615,-8.38201,39.73247,35.26247,-10.04093
92,0,0.12253,0.26430,-8.38584,44.75037,34.16500,-11.46107
93,0,0.11093,0.26402,-8.42053,44.40890,33.16033,-9.33870
94,0,0.12508,0.28945,-8.30759,42.04385,36.22075,-11.31311
95,0,0.13515,0.26627,-8.47499,38.36532,34.43430,-11.63702
96,0,0.11218,0.26276,-8.45199,38.76862,34.53067,-10.58249
97,0,0.09169,0.26225,-8.49774,40.66773,34.48063,-12.13687
98,0,0.07102,0.26726,-8.59041,38.73519,33.17687,-11.70988
99,0,0.06427,0.29064,-8.51658,40.46563,35.06982,-13.62390
100,0,0.09683,0.26925,-8.55017,37.77707,34.37525,-13.15630
101,0,0.10106,0.27795,-8.58361,36.34092,37.04971,-13.65208
102,0,0.07249,0.23669,-8.61078,38.78930,34.66551,-14.15153
103,0,0.04883,0.23611,-8.75060,38.43235,33.95252,-15.06130
104,0,0.08235,0.27860,-8.63165,35.50322,34.62304,-14.52977
105,0,0.03388,0.26070,-8.75252,33.70650,33.14166,-15.17734
106,0,0.03987,0.25556,-8.64304,31.55172,33.53252,-15.99372
107,0,0.06123,0.24345,-8.77790,34.95042,33.20602,-13.98855
108,0,-0.00147,0.27672,-8.79153,29.65509,35.16225,-14.79440
109,0,0.04603,0.25062,-8.80545,30.83011,32.03386,-15.09194
110,0,0.02148,0.23337,-8.85670,32.78521,34.34266,-15.36797
111,0,0.03017,0.23114,-8.90626,28.40349,35.95914,-14.85888
112,0,0.02139,0.23137,-8.85070,27.88427,32.45008,-16.19603
113,0,0.02192,0.25256,-8.95055,28.23494,32.34943,-15.34007
114,0,0.02680,0.24554,-8.87174,23.80291,31.40533,-14.30078
115,0,-0.00716,0.24170,-8.98357,26.53869,32.27932,-15.07452
116,0,0.03158,0.26661,-8.92547,23.25312,31.92986,-15.16424
117,0,0.01290,0.23561,-8.97571,21.42697,30.34215,-14.65561
118,0,0.01054,0.22595,-8.93332,21.52486,31.52460,-14.22691
119,0,0.01232,0.23601,-8.96165,24.43881,30.98568,-14.27303
120,0,0.00019,0.23194,-8.98283,19.60641,29.58315,-13.86472
121,0,-0.00319,0.18444,-9.13847,17.50379,30.32550,-14.79787
122,0,-0.02300,0.19500,-9.04366,19.70992,29.13070,-13.49318
123,0,-0.05742,0.22855,-9.08878,17.69866,29.41740,-12.21177
124,0,-0.03588,0.22831,-9.03344,17.85361,27.80997,-13.73058
125,0,-0.05279,0.20366,-9.15512,16.63231,27.96886,-12.92464
126,0,-0.07001,0.19747,-9.14925,12.50799,27.36734,-12.38838
127,0,-0.04046,0.17771,-9.21695,15.04829,27.19505,-11.17979
128,0,-0.06100,0.20450,-9.22311,12.08323,25.49351,-12.17425
129,0,-0.07416,0.20567,-9.22917,11.77984,25.25646,-11.62712
130,0,-0.07828,0.21003,-9.22630,10.34656,25.13115,-10.62499
131,0,-0.05583,0.18627,-9.35023,11.60322,28.47317,-9.87638
132,0,-0.05773,0.18020,-9.25979,7.66467,25.89646,-10.54236
133,0,-0.04209,0.20877,-9.40751,7.30616,24.14896,-9.08323
134,0,-0.07237,0.18405,-9.29506,5.67095,24.27130,-8.86517
